Epoch,Val_Loss
0,4.392889499664307
100,2.5131404399871826
200,2.4560153484344482
300,2.3275232315063477
400,2.163487195968628
500,2.072824001312256
600,1.9866814613342285
700,1.920595407485962
800,1.8672592639923096
900,1.8223636150360107
1000,1.7851125001907349
1100,1.7653580904006958
1200,1.739324688911438
1300,1.7164580821990967
1400,1.689660906791687
1500,1.6815159320831299
1600,1.6653547286987305
1700,1.6541023254394531
1800,1.6469632387161255
1900,1.633491039276123
2000,1.628446340560913
2100,1.629077434539795
2200,1.6192047595977783
2300,1.61722731590271
2400,1.6087777614593506
2500,1.6114082336425781
2600,1.6068146228790283
2700,1.6102758646011353
2800,1.600213646888733
2900,1.6066569089889526
